DATA ZAWARCIA TRANSAKCJI;MIASTO;DZIELNICA;ULICA;RODZAJ RYNKU;CENA NABYCIA;POWIERZCHNIA MIESZKANIA;CENA ZA 1 MKW;POŁOŻENIE NA KONDYGNACJI;OBECNOŚĆ MIEJSCA PARKINGOWEGO;STANDARD;ROK BUDOWY
2016-10-04;Sopot; Sopot;Chopina;RYNEK WTÓRNY;2450000;143,91;17977;3;BRAK MP;WYSOKI;lata 40-50-te XX-go wieku
2016-10-04;Sopot; Sopot;Władysława Łokietka;RYNEK WTÓRNY;1500000;113,31;14232;4;BRAK MP;WYSOKI;2015
2016-10-04;Sopot; Sopot;Haffnera;RYNEK WTÓRNY;1235000;106,67;12584;2;BRAK MP;BARDZO DOBRY;lata 40-50-te XX-go wieku
2016-10-04;Sopot; Sopot;Krótka;RYNEK WTÓRNY;1100000;109,78;11020;3;BRAK MP;BARDZO DOBRY;lata 40-50 te XX-go wieku
2016-10-04;Gdynia; Śródmieście z Portem;Starowiejska;RYNEK WTÓRNY;650000;114,35;6677;2;BRAK MP;PRZECIĘTNY;lata 40-50-te XX-go wieku
2016-10-04;Gdynia; Redłowo;Legionów;RYNEK WTÓRNY;838000;116,04;8211;9;BRAK MP;DOBRY;lata 70-80-te XX-go wieku
2016-10-04;Gdynia; Chwarzno-Wiczlino;Jachtowa;RYNEK PIERWOTNY;420370;115,03;4646;1;MIEJSCE NAZIEMNE;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-10-04;Gdynia; Witomino;Promienna;RYNEK WTÓRNY;700000;106,14;7602;3;BRAK MP;DOBRY;lata 70-80-te XX-go wieku
2016-10-07;Sopot; Sopot;3 Maja;RYNEK WTÓRNY;1050000;84,7;13456;3;BRAK MP;BARDZO DOBRY;lata 40-50-te XX-go wieku
2016-10-10;Gdynia; Mały Kack;Parkowa;RYNEK PIERWOTNY;665770;118,92;6583;1;GARAŻ JEDNOSTANOWISKOWY;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-10-11;Gdynia; Pustki Cisowskie;Chabrowa;RYNEK WTÓRNY;513000;91,9;6622;2;BRAK MP;PRZECIĘTNY;lata 90-te XX-go wieku
2016-10-11;Sopot; Sopot;Sobieskiego;RYNEK WTÓRNY;925000;109,45;9452;1;BRAK MP;DOBRY;lata 30-te XX-go wieku
2016-10-11;Gdynia; Śródmieście z Portem;Abrahama;RYNEK WTÓRNY;767178;108,63;8065;4;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;lata 40-50-te XX-go wieku
2016-10-15;Sopot; Sopot;Parkowa;RYNEK WTÓRNY;1150000;118,45;10694;1;BRAK MP;BARDZO DOBRY;lata 30-te XX-go wieku
2016-10-16;Gdynia; Kamienna Góra;Mariacka;RYNEK PIERWOTNY;1084112;117,74;10195;1;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-10-17;Gdynia; Orłowo;Świerkowa;RYNEK WTÓRNY;870000;85,27;11261;3;MIEJSCE POSTOJOWE W HALI GARAŻOWEJ;BARDZO DOBRY;2010
2016-12-23;Gdynia; Orłowo;Adwokacka;RYNEK WTÓRNY;515000;53,5;10837;2;GARAŻ JEDNOSTANOWISKOWY;BARDZO DOBRY;lata 80-te XX-go wieku
2016-10-17;Sopot; Sopot;Parkowa;RYNEK WTÓRNY;1900000;102,31;19586;4;BRAK MP;WYSOKI;lata 30-te XX-go wieku
2016-10-17;Sopot; Sopot;Wybickiego;RYNEK WTÓRNY;1400000;101,58;14799;1;BRAK MP;WYSOKI;lata 30-te XX-go wieku
2016-10-17;Sopot; Sopot;Polna;RYNEK WTÓRNY;855000;64,56;14384;2;BRAK MP;WYSOKI;2010
2016-10-17;Sopot; Sopot;Pułaskiego;RYNEK WTÓRNY;1500000;119,43;13544;3;BRAK MP;BARDZO DOBRY;lata 30-te XX-go wieku
2016-10-17;Sopot; Sopot;Bolesława Chrobrego;RYNEK WTÓRNY;1150000;93,95;13275;2;BRAK MP;BARDZO DOBRY;lata 40-50-te XX-go wieku
2016-10-17;Sopot; Sopot;Władysława Łokietka;RYNEK WTÓRNY;1400000;117,56;12896;1;BRAK MP;BARDZO DOBRY;2015
2016-10-17;Sopot; Sopot;Pułaskiego;RYNEK WTÓRNY;730000;73,35;11052;2;BRAK MP;BARDZO DOBRY;lata 30-te XX-go wieku
2016-10-17;Gdynia; Śródmieście z Portem;Abrahama;RYNEK WTÓRNY;500000;115,85;5306;5;BRAK MP;PRZECIĘTNY;lata 40-50-te XX-go wieku
2016-10-17;Gdynia; Orłowo;Bernadowska;RYNEK PIERWOTNY;1081062;135,43;8945;1;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-10-17;Sopot; Sopot;Chopina;RYNEK WTÓRNY;900000;90,65;10971;3;BRAK MP;BARDZO DOBRY;lata 40-50-te XX-go wieku
2016-10-17;Sopot; Sopot;Kordeckiego;RYNEK WTÓRNY;845000;85,62;10926;2;BRAK MP;BARDZO DOBRY;lata 40-50 te XX-go wieku
2016-10-17;Gdynia; Chwarzno-Wiczlino;Kańskiego;RYNEK WTÓRNY;610000;87,05;8060;2;BRAK MP;DOBRY;2015
2016-10-17;Gdynia; Dąbrowa;Rdestowa;RYNEK WTÓRNY;560000;93,85;7001;4;BRAK MP;DOBRY;2010
2016-10-17;Gdynia; Kamienna Góra;Bema;RYNEK WTÓRNY;550000;90,32;7133;3;BRAK MP;DOBRY;lata 30-40 te XX-go wieku
2016-10-17;Gdynia; Mały Kack;Strzelców;RYNEK PIERWOTNY;660000;100,3;7600;3;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
